mac,1,2,3,4,5,6,7,8,9,10,label,noise,concurrent_noise_path,synthetic
e6:53:5c:2a:e8:e2,-61.0,-60.0,-58.0,-56.0,-57.0,-60.0,-56.0,-55.0,-60.0,-58.0,BB,True,AA,False
ea:51:ae:7f:62:fa,-55.2,-53.9,-50.4,-61.0,-40.0,-44.3,-50.7,-46.7,-55.4,-46.9,BA,True,AA,True
e6:53:5c:2a:e8:e2,-36.1,-43.1,-47.1,-49.4,-53.5,-60.0,-60.2,-45.9,-49.5,-45.9,AA,False,,True
e6:53:5c:2a:e8:e2,-38.1,-38.3,-41.2,-47.4,-41.3,-38.5,-38.0,-38.4,-37.6,-38.1,AA,True,AB,True
04:b1:67:ac:8d:65,-42.6,-42.6,-42.6,-42.6,-42.6,-42.6,-42.6,-42.6,-42.6,-42.6,AA,True,BA,True
04:b1:67:ac:8d:65,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,AA,True,AB,True
56:ec:bd:68:73:0c,-39.2,-37.1,-31.8,-39.6,-48.4,-55.8,-52.8,-50.0,-55.6,-51.9,AB,True,BA,True
76:64:61:f6:e6:14,-32.8,-37.5,-44.6,-52.9,-59.9,-53.7,-49.6,-55.2,-49.8,-46.0,AB,True,BA,True
e6:53:5c:2a:e8:e2,-52.0,-52.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,BB,True,AA,True
76:64:61:f6:e6:14,-56.0,-50.0,-59.0,-58.0,-62.0,-59.0,-60.0,-55.0,-51.0,-45.0,BB,False,,False
56:ec:bd:68:73:0c,-44.0,-38.0,-30.0,-46.0,-51.0,-57.0,-79.0,-63.0,-48.0,-48.0,AB,True,BA,False
e6:53:5c:2a:e8:e2,-47.4,-48.0,-52.4,-50.0,-43.5,-43.6,-43.9,-47.9,-56.3,-50.7,BB,True,AA,True
76:64:61:f6:e6:14,-57.8,-45.4,-53.0,-48.4,-50.5,-41.9,-39.8,-25.0,-40.3,-58.0,BA,False,,True
76:64:61:f6:e6:14,-48.3,-48.5,-47.4,-45.7,-43.5,-39.4,-31.6,-33.9,-41.5,-41.8,BA,True,AA,True
e6:53:5c:2a:e8:e2,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,BB,True,AA,False
76:64:61:f6:e6:14,-48.4,-44.3,-55.5,-40.4,-44.0,-37.3,-37.5,-39.0,-44.8,-48.3,BA,False,,True
e6:53:5c:2a:e8:e2,-33.0,-33.0,-33.0,-38.0,-38.0,-43.0,-40.0,-43.0,-51.0,-37.0,AA,True,AB,False
04:b1:67:ac:8d:65,-55.0,-55.0,-55.0,-56.0,-52.0,-52.0,-52.0,-52.0,-52.0,-58.0,BB,True,BA,False
56:ec:bd:68:73:0c,-28.0,-36.0,-64.0,-40.0,-34.0,-47.0,-51.0,-45.0,-36.0,-41.0,AA,True,BB,False
04:b1:67:ac:8d:65,-32.3,-32.0,-32.9,-30.8,-32.2,-31.8,-31.3,-32.6,-31.8,-39.0,AA,True,BA,True
04:b1:67:ac:8d:65,-38.2,-51.1,-58.0,-58.0,-58.0,-44.1,-44.1,-44.1,-44.1,-32.2,BA,True,AB,True
ea:51:ae:7f:62:fa,-58.0,-61.0,-52.0,-54.0,-54.0,-62.0,-52.0,-46.0,-50.0,-43.0,BA,True,BB,False
76:64:61:f6:e6:14,-40.2,-45.3,-45.0,-42.8,-48.8,-43.2,-46.1,-39.9,-53.2,-45.7,BA,True,AA,True
04:b1:67:ac:8d:65,-29.7,-28.2,-28.6,-29.4,-28.6,-29.1,-29.2,-29.0,-38.6,-39.5,BA,True,AB,True
2e:ad:62:53:35:66,-50.1,-33.8,-46.4,-66.9,-62.9,-59.9,-56.9,-53.8,-59.9,-52.4,AB,True,BA,True
04:b1:67:ac:8d:65,-37.0,-37.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,AA,True,AB,False
2e:ad:62:53:35:66,-44.8,-44.9,-44.9,-41.0,-36.3,-37.6,-45.6,-48.6,-40.7,-41.7,AA,True,BB,True
04:b1:67:ac:8d:65,-56.0,-56.8,-57.3,-57.8,-56.8,-59.1,-56.8,-56.7,-57.2,-57.1,BB,True,AA,True
76:64:61:f6:e6:14,-54.0,-37.0,-35.0,-50.0,-70.0,-52.0,-48.0,-47.0,-51.0,-41.0,AB,True,BA,False
04:b1:67:ac:8d:65,-61.8,-61.8,-62.0,-61.9,-61.8,-61.7,-61.8,-61.7,-61.8,-61.8,BB,True,AA,True
e6:53:5c:2a:e8:e2,-59.0,-67.0,-63.3,-69.6,-70.2,-63.2,-66.2,-66.2,-52.8,-49.2,BB,True,AA,True
56:ec:bd:68:73:0c,-42.0,-60.0,-41.0,-48.0,-47.0,-38.0,-75.0,-49.0,-45.0,-39.0,BA,True,BB,False
76:64:61:f6:e6:14,-45.3,-44.4,-47.4,-43.1,-43.2,-45.5,-53.1,-50.4,-47.0,-44.7,BB,True,AB,True
76:64:61:f6:e6:14,-52.0,-53.4,-51.9,-55.2,-39.3,-50.9,-35.6,-28.2,-39.6,-55.8,BA,False,,True
e6:53:5c:2a:e8:e2,-35.0,-35.0,-35.0,-35.0,-35.0,-23.0,-23.0,-23.0,-23.0,-23.0,BA,True,AB,False
e6:53:5c:2a:e8:e2,-43.7,-38.0,-44.1,-38.6,-57.0,-47.7,-39.5,-25.8,-36.5,-27.0,AA,False,,True
76:64:61:f6:e6:14,-36.0,-35.0,-38.0,-51.0,-62.0,-57.0,-58.0,-45.0,-48.0,-45.0,AB,True,BA,False
76:64:61:f6:e6:14,-48.5,-52.7,-56.8,-44.1,-44.7,-40.6,-40.3,-35.3,-38.2,-38.3,BA,True,BB,True
86:1d:1e:e5:49:5a,-41.9,-42.7,-39.0,-46.2,-58.2,-61.5,-52.3,-49.7,-52.3,-43.2,AB,True,AA,True
04:b1:67:ac:8d:65,-47.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,-70.0,AA,True,AB,False
76:64:61:f6:e6:14,-54.0,-37.0,-43.0,-47.0,-47.0,-38.0,-47.0,-48.0,-35.0,-37.0,AA,False,,False
04:b1:67:ac:8d:65,-53.0,-53.0,-53.0,-43.0,-43.0,-43.0,-43.0,-61.0,-58.0,-58.0,AB,True,BB,False
76:64:61:f6:e6:14,-36.9,-38.3,-41.0,-41.0,-35.7,-59.8,-57.5,-68.8,-60.0,-52.7,AB,True,AA,True
56:ec:bd:68:73:0c,-35.9,-61.6,-33.8,-36.6,-40.5,-48.0,-62.4,-59.1,-55.2,-58.6,AB,True,AA,True
4a:ff:61:0a:f6:20,-39.2,-36.3,-42.7,-42.1,-46.2,-49.1,-48.5,-47.9,-50.8,-55.4,AA,True,BA,True
04:b1:67:ac:8d:65,-50.9,-51.7,-50.9,-45.6,-46.7,-46.8,-45.6,-45.3,-44.3,-45.5,BB,True,BA,True
04:b1:67:ac:8d:65,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-51.0,-51.0,-51.0,-38.0,AA,True,BA,False
e6:53:5c:2a:e8:e2,-61.0,-54.0,-61.0,-57.0,-56.0,-56.0,-56.0,-55.0,-56.0,-57.0,BB,True,BA,False
56:ec:bd:68:73:0c,-49.3,-50.7,-57.1,-48.5,-44.1,-45.1,-44.2,-47.9,-39.1,-48.8,BA,True,AA,True
4a:ff:61:0a:f6:20,-39.3,-39.5,-38.6,-39.3,-38.3,-39.2,-39.9,-37.9,-38.0,-39.8,BB,True,BA,True
e6:53:5c:2a:e8:e2,-38.6,-26.9,-29.8,-42.9,-43.7,-46.6,-46.1,-49.7,-57.3,-53.2,AB,False,,True
04:b1:67:ac:8d:65,-51.0,-56.0,-60.0,-61.0,-61.0,-56.0,-49.0,-49.0,-51.0,-50.0,BB,True,BA,False
56:ec:bd:68:73:0c,-61.0,-44.8,-41.7,-58.3,-55.4,-53.9,-59.5,-62.4,-63.2,-67.5,AB,True,BA,True
ea:51:ae:7f:62:fa,-40.3,-30.4,-18.4,-50.6,-47.7,-54.6,-55.8,-58.5,-59.8,-48.3,AB,True,BA,True
76:64:61:f6:e6:14,-43.9,-46.3,-45.1,-53.1,-44.9,-42.5,-35.4,-39.0,-36.6,-36.4,AA,False,,True
e6:53:5c:2a:e8:e2,-41.6,-48.1,-47.8,-42.7,-45.0,-41.4,-47.3,-49.2,-49.8,-53.5,AA,False,,True
76:64:61:f6:e6:14,-48.0,-42.0,-50.9,-40.0,-29.1,-41.0,-55.9,-53.9,-50.9,-50.0,BA,False,,True
ea:51:ae:7f:62:fa,-39.6,-36.8,-37.2,-37.5,-37.7,-39.8,-38.6,-38.2,-38.9,-39.4,AB,True,BA,True
76:64:61:f6:e6:14,-35.4,-35.1,-27.3,-52.8,-57.3,-55.9,-55.8,-54.8,-56.5,-46.1,AB,False,,True
04:b1:67:ac:8d:65,-35.0,-35.0,-35.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,AA,True,AB,False
04:b1:67:ac:8d:65,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,AA,True,BA,False
04:b1:67:ac:8d:65,-66.4,-62.3,-61.8,-60.9,-60.7,-48.5,-52.9,-54.1,-54.5,-54.5,BA,True,AB,True
76:64:61:f6:e6:14,-63.0,-47.7,-48.0,-44.2,-65.9,-47.9,-46.0,-43.4,-53.3,-40.2,BB,True,AB,True
76:64:61:f6:e6:14,-52.0,-46.0,-46.0,-46.0,-46.0,-54.0,-43.0,-39.0,-53.0,-50.0,BA,True,AA,False
e6:53:5c:2a:e8:e2,-52.4,-45.2,-50.8,-67.8,-67.3,-51.0,-48.4,-47.8,-47.5,-49.7,BB,True,BA,True
4a:ff:61:0a:f6:20,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,BA,True,AB,False
e6:53:5c:2a:e8:e2,-44.1,-47.9,-47.9,-53.7,-55.8,-42.1,-44.0,-45.9,-57.7,-43.1,AA,True,BA,True
76:64:61:f6:e6:14,-46.0,-44.0,-54.0,-55.0,-52.0,-50.0,-42.0,-51.0,-41.0,-41.0,BB,True,AB,False
e6:53:5c:2a:e8:e2,-45.0,-48.0,-40.2,-43.1,-36.0,-29.1,-36.1,-46.9,-49.7,-73.2,BA,True,AB,True
e6:53:5c:2a:e8:e2,-37.7,-37.5,-40.0,-51.4,-57.2,-58.6,-48.3,-49.6,-61.4,-56.0,AB,False,,True
56:ec:bd:68:73:0c,-40.0,-39.0,-40.0,-41.0,-43.0,-53.0,-51.0,-58.0,-54.0,-54.0,AB,True,AA,True
04:b1:67:ac:8d:65,-32.3,-30.6,-31.9,-29.8,-31.3,-29.8,-31.2,-31.2,-55.3,-55.8,AB,True,BB,True
e6:53:5c:2a:e8:e2,-38.5,-43.0,-30.8,-33.5,-40.1,-44.5,-48.3,-41.9,-41.4,-39.2,AA,True,BA,True
76:64:61:f6:e6:14,-36.2,-36.9,-47.3,-47.8,-55.1,-54.8,-61.9,-55.3,-50.5,-45.9,AB,True,AA,True
e6:53:5c:2a:e8:e2,-37.4,-43.8,-47.1,-43.6,-41.3,-42.2,-39.7,-43.2,-42.7,-45.9,AA,True,AB,True
e6:53:5c:2a:e8:e2,-47.0,-48.0,-52.0,-48.0,-47.0,-43.0,-46.0,-43.0,-44.0,-47.0,AA,True,AB,False
e6:53:5c:2a:e8:e2,-44.0,-42.0,-43.0,-51.0,-45.0,-40.0,-37.1,-39.0,-40.0,-42.1,BB,True,AA,True
e6:53:5c:2a:e8:e2,-38.8,-29.5,-54.1,-53.1,-49.5,-42.0,-44.9,-43.1,-44.5,-47.1,AA,False,,True
e6:53:5c:2a:e8:e2,-52.6,-48.6,-48.4,-47.9,-50.6,-44.9,-53.8,-45.6,-49.7,-48.0,BB,False,,True
e6:53:5c:2a:e8:e2,-53.5,-57.3,-53.6,-52.8,-55.9,-55.1,-52.8,-56.6,-58.2,-58.9,BB,True,AA,True
e6:53:5c:2a:e8:e2,-40.0,-40.0,-41.0,-42.0,-46.1,-58.0,-54.0,-53.0,-60.9,-57.9,AB,True,BB,True
76:64:61:f6:e6:14,-47.5,-38.1,-40.0,-45.8,-36.2,-42.8,-42.7,-38.8,-43.6,-39.8,BA,True,AA,True
76:64:61:f6:e6:14,-55.3,-51.3,-53.7,-50.9,-43.7,-59.5,-45.6,-52.3,-51.5,-49.2,BB,False,,True
04:b1:67:ac:8d:65,-45.2,-49.5,-44.4,-48.2,-44.0,-42.0,-46.2,-47.0,-42.0,-46.2,BA,True,AB,True
ea:51:ae:7f:62:fa,-35.6,-33.8,-22.0,-41.5,-53.0,-58.5,-55.0,-55.7,-51.5,-51.7,AB,True,BA,True
04:b1:67:ac:8d:65,-43.4,-45.3,-42.8,-46.6,-45.6,-44.8,-44.6,-45.1,-45.4,-57.2,BB,True,BA,True
76:64:61:f6:e6:14,-46.8,-54.3,-47.1,-42.1,-28.6,-41.1,-49.0,-49.3,-61.2,-38.1,BA,False,,True
2e:ad:62:53:35:66,-54.2,-51.3,-50.7,-51.1,-60.7,-49.5,-49.0,-41.6,-41.7,-42.1,BA,True,AA,True
56:ec:bd:68:73:0c,-39.0,-47.6,-45.1,-51.3,-50.6,-52.0,-47.9,-47.4,-53.6,-44.4,BA,True,BB,True
e6:53:5c:2a:e8:e2,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,AA,True,AB,False
e6:53:5c:2a:e8:e2,-41.0,-42.0,-40.0,-39.0,-40.0,-41.0,-39.0,-43.0,-36.0,-40.0,AA,True,AB,False
76:64:61:f6:e6:14,-50.3,-64.2,-51.1,-52.0,-50.6,-50.0,-50.6,-46.5,-54.2,-61.7,BB,False,,True
76:64:61:f6:e6:14,-32.8,-28.9,-32.6,-52.1,-63.0,-61.1,-55.5,-57.8,-51.6,-48.8,AB,True,AA,True
76:64:61:f6:e6:14,-55.0,-45.3,-49.7,-42.7,-42.0,-37.0,-46.6,-43.7,-37.9,-34.2,AA,False,,True
04:b1:67:ac:8d:65,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-68.0,-40.0,-40.0,BB,True,AA,True
76:64:61:f6:e6:14,-42.2,-38.0,-47.6,-51.8,-51.6,-52.5,-60.1,-57.6,-49.6,-49.6,AB,True,BA,True
e6:53:5c:2a:e8:e2,-57.9,-52.4,-50.1,-40.7,-47.1,-54.1,-47.5,-58.0,-47.7,-39.3,BA,True,AB,True
04:b1:67:ac:8d:65,-43.0,-39.0,-39.0,-37.0,-44.0,-40.0,-50.0,-37.0,-46.0,-36.0,AA,True,AB,True
56:ec:bd:68:73:0c,-49.0,-47.0,-36.0,-37.0,-49.0,-41.0,-41.0,-48.0,-49.0,-47.0,BA,True,AA,False
76:64:61:f6:e6:14,-54.5,-51.3,-53.4,-43.9,-43.5,-43.8,-34.6,-53.7,-42.1,-32.7,BA,False,,True
e6:53:5c:2a:e8:e2,-41.7,-46.7,-45.0,-42.0,-42.3,-36.3,-51.0,-54.4,-51.7,-46.8,BA,False,,True
e6:53:5c:2a:e8:e2,-59.0,-56.0,-59.0,-62.0,-61.0,-62.0,-55.0,-55.0,-59.0,-53.0,BB,True,BA,False
56:ec:bd:68:73:0c,-53.3,-51.0,-41.8,-45.7,-49.5,-48.4,-44.6,-50.9,-49.3,-47.6,BA,True,BB,True
76:64:61:f6:e6:14,-39.6,-36.4,-34.3,-32.2,-42.6,-32.9,-65.7,-51.4,-58.2,-45.6,AA,False,,True
e6:53:5c:2a:e8:e2,-39.8,-50.3,-52.1,-47.8,-35.4,-40.1,-47.2,-45.9,-46.3,-60.1,BA,False,,True
04:b1:67:ac:8d:65,-64.7,-66.7,-64.7,-66.1,-65.7,-66.6,-65.2,-65.3,-64.6,-64.8,AB,True,BB,True
e6:53:5c:2a:e8:e2,-37.3,-48.0,-46.1,-39.6,-40.4,-39.6,-42.6,-43.2,-59.6,-43.6,BA,False,,True
e6:53:5c:2a:e8:e2,-36.1,-36.5,-36.2,-35.0,-36.5,-35.2,-35.1,-37.4,-34.1,-37.8,AA,True,AB,True
e6:53:5c:2a:e8:e2,-38.0,-40.0,-43.0,-38.0,-40.0,-55.0,-64.0,-52.0,-48.0,-56.0,AB,True,BB,False
04:b1:67:ac:8d:65,-37.0,-37.5,-38.4,-37.5,-38.4,-38.1,-36.7,-37.7,-38.4,-38.9,AA,True,AB,True
76:64:61:f6:e6:14,-48.8,-43.3,-41.7,-40.5,-40.9,-56.8,-50.0,-47.0,-46.1,-53.1,AA,True,BB,True
76:64:61:f6:e6:14,-45.7,-54.3,-38.5,-47.0,-45.8,-33.3,-36.6,-48.6,-52.3,-59.3,BA,False,,True
e6:53:5c:2a:e8:e2,-49.7,-48.1,-42.1,-53.0,-47.5,-48.3,-46.3,-56.3,-48.4,-56.8,BB,False,,True
76:64:61:f6:e6:14,-40.0,-42.0,-41.0,-47.0,-41.0,-42.0,-44.0,-55.0,-73.0,-77.0,AB,True,AA,False
56:ec:bd:68:73:0c,-45.3,-48.8,-35.0,-32.2,-46.2,-47.0,-58.3,-49.8,-53.2,-56.0,AB,True,AA,True
76:64:61:f6:e6:14,-42.8,-40.1,-27.9,-40.2,-44.8,-54.2,-70.0,-61.8,-56.7,-51.4,AB,False,,True
76:64:61:f6:e6:14,-52.7,-47.0,-48.3,-46.8,-48.1,-48.2,-47.2,-51.0,-46.1,-44.4,BB,True,AB,True
e6:53:5c:2a:e8:e2,-56.1,-46.3,-41.2,-45.1,-41.2,-42.0,-41.2,-38.4,-49.8,-43.0,BA,True,AB,True
e6:53:5c:2a:e8:e2,-36.4,-39.7,-42.2,-38.9,-39.7,-45.6,-38.9,-38.9,-40.2,-49.4,AA,True,BA,True
76:64:61:f6:e6:14,-47.0,-47.0,-52.0,-64.0,-49.0,-41.0,-62.0,-43.0,-47.0,-42.0,BA,True,AA,False
e6:53:5c:2a:e8:e2,-40.2,-50.4,-48.6,-40.7,-47.9,-45.0,-40.6,-43.9,-53.2,-52.1,AA,True,AB,True
e6:53:5c:2a:e8:e2,-53.2,-56.6,-62.7,-52.1,-56.9,-59.1,-54.5,-60.5,-55.8,-46.0,BB,True,BA,True
76:64:61:f6:e6:14,-53.8,-55.1,-59.7,-47.1,-53.8,-61.6,-56.7,-56.6,-55.0,-66.5,BB,False,,True
76:64:61:f6:e6:14,-34.0,-38.0,-42.0,-37.0,-39.0,-42.0,-53.0,-58.0,-57.0,-56.0,AB,True,AA,False
e6:53:5c:2a:e8:e2,-53.0,-50.0,-54.0,-52.0,-55.0,-52.0,-68.0,-52.0,-49.0,-53.0,BB,True,BA,False
04:b1:67:ac:8d:65,-50.4,-55.5,-47.0,-56.9,-58.8,-56.5,-55.3,-56.2,-55.6,-56.3,BA,True,AB,True
2e:ad:62:53:35:66,-64.1,-56.3,-50.6,-53.9,-55.6,-45.6,-43.9,-39.6,-42.5,-37.9,BA,True,BB,True
e6:53:5c:2a:e8:e2,-43.6,-43.1,-38.9,-44.5,-47.4,-34.0,-37.6,-38.5,-45.8,-51.8,AA,False,,True
e6:53:5c:2a:e8:e2,-45.0,-34.0,-31.0,-27.0,-28.0,-44.0,-39.0,-41.0,-49.0,-50.0,AB,False,,False
76:64:61:f6:e6:14,-43.0,-39.7,-36.0,-33.1,-35.6,-58.1,-54.1,-55.5,-55.4,-65.0,AB,False,,True
e6:53:5c:2a:e8:e2,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,BA,True,AB,False
76:64:61:f6:e6:14,-51.3,-45.4,-48.0,-37.1,-48.2,-60.3,-61.4,-65.2,-58.5,-63.4,AB,False,,True
e6:53:5c:2a:e8:e2,-50.1,-46.7,-55.6,-45.6,-46.4,-37.4,-34.1,-32.9,-39.7,-37.0,BB,False,,True
76:64:61:f6:e6:14,-40.1,-32.6,-56.0,-58.0,-61.5,-64.8,-50.8,-40.1,-52.8,-58.1,AB,False,,True
86:1d:1e:e5:49:5a,-41.9,-38.8,-38.3,-55.9,-54.9,-53.3,-52.9,-58.4,-56.9,-57.2,AB,True,AA,True
4a:ff:61:0a:f6:20,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,AA,True,BA,False
e6:53:5c:2a:e8:e2,-44.0,-36.0,-43.0,-42.0,-48.0,-43.0,-48.0,-40.0,-42.0,-47.0,AA,True,BA,False
e6:53:5c:2a:e8:e2,-50.0,-53.0,-47.0,-51.0,-57.0,-52.0,-57.0,-59.0,-58.0,-54.0,BB,True,AA,False
e6:53:5c:2a:e8:e2,-55.0,-50.0,-48.0,-55.0,-44.0,-41.0,-43.0,-50.0,-38.0,-40.0,BA,True,AB,False
76:64:61:f6:e6:14,-47.1,-45.5,-45.5,-51.2,-43.9,-44.1,-38.3,-44.2,-34.2,-31.5,BA,True,AA,True
04:b1:67:ac:8d:65,-51.0,-51.0,-51.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,BB,True,BA,False
76:64:61:f6:e6:14,-45.9,-49.0,-47.9,-42.8,-37.7,-61.5,-48.8,-51.1,-59.2,-56.9,BB,True,AB,True
76:64:61:f6:e6:14,-55.0,-63.0,-43.0,-44.0,-41.0,-42.0,-46.0,-37.0,-45.0,-48.0,BA,True,AA,False
56:ec:bd:68:73:0c,-38.0,-43.0,-34.0,-41.0,-59.0,-54.0,-57.0,-52.0,-52.0,-45.0,AB,True,BA,False
4a:ff:61:0a:f6:20,-65.3,-65.3,-65.3,-66.5,-46.3,-46.5,-45.2,-45.8,-45.7,-45.5,BB,True,BA,True
56:ec:bd:68:73:0c,-33.4,-34.3,-44.5,-39.7,-49.7,-53.6,-50.3,-45.3,-34.2,-30.7,AA,True,BB,True
04:b1:67:ac:8d:65,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0,-56.0,-56.0,AB,True,BB,False
e6:53:5c:2a:e8:e2,-61.3,-51.9,-53.9,-45.2,-52.2,-48.2,-47.9,-51.8,-43.8,-45.6,BB,True,AA,True
56:ec:bd:68:73:0c,-44.6,-38.3,-39.2,-48.3,-69.6,-48.1,-48.6,-47.7,-53.5,-46.8,AB,True,AA,True
04:b1:67:ac:8d:65,-64.7,-62.7,-63.7,-63.3,-63.5,-62.3,-63.5,-64.0,-63.6,-63.2,BB,True,BA,True
4a:ff:61:0a:f6:20,-40.2,-40.1,-41.3,-41.8,-40.7,-39.6,-40.9,-40.6,-41.2,-41.4,BA,True,AB,True
ea:51:ae:7f:62:fa,-56.2,-66.0,-58.9,-56.7,-61.4,-53.2,-59.6,-47.0,-40.5,-42.3,BA,True,BB,True
04:b1:67:ac:8d:65,-46.9,-53.7,-54.2,-54.2,-54.2,-54.2,-54.2,-58.1,-53.4,-52.3,BB,True,AA,True
e6:53:5c:2a:e8:e2,-41.0,-52.0,-43.0,-43.0,-49.0,-46.0,-45.0,-40.0,-43.0,-43.0,AA,True,AB,False
76:64:61:f6:e6:14,-59.7,-45.6,-49.6,-50.3,-44.9,-50.0,-44.3,-38.3,-46.4,-40.1,BA,True,AA,True
04:b1:67:ac:8d:65,-66.4,-49.1,-48.0,-48.2,-46.5,-47.3,-48.4,-49.3,-49.8,-48.8,BB,True,AA,True
2e:ad:62:53:35:66,-56.0,-57.0,-47.0,-47.0,-60.0,-54.0,-49.0,-35.0,-42.0,-48.0,BA,True,AA,False
e6:53:5c:2a:e8:e2,-50.2,-40.2,-43.9,-50.9,-48.0,-44.7,-51.8,-46.5,-45.2,-48.1,AA,True,BA,True
76:64:61:f6:e6:14,-49.0,-46.0,-45.0,-42.0,-41.0,-35.0,-46.0,-44.0,-41.0,-36.0,BA,True,AA,False
76:64:61:f6:e6:14,-40.0,-39.1,-37.5,-42.9,-47.2,-55.7,-44.3,-50.5,-54.7,-55.8,AB,True,AA,True
4a:ff:61:0a:f6:20,-52.4,-53.6,-52.5,-53.8,-53.5,-52.8,-53.5,-53.4,-55.1,-52.3,AB,True,BB,True
76:64:61:f6:e6:14,-26.1,-27.5,-29.2,-27.3,-27.0,-26.1,-25.9,-25.9,-29.1,-30.3,AA,True,BB,True
76:64:61:f6:e6:14,-43.9,-41.5,-42.4,-55.0,-58.7,-43.5,-43.6,-54.1,-46.7,-43.4,AB,True,AA,True
76:64:61:f6:e6:14,-31.9,-52.1,-57.9,-57.4,-51.6,-50.5,-47.4,-47.0,-42.2,-45.1,AA,True,BB,True
76:64:61:f6:e6:14,-43.0,-38.0,-49.0,-53.0,-48.0,-45.0,-46.0,-51.0,-43.0,-41.0,BB,True,AB,False
